"","x"
"1",0.0438933371566236
"2",0.363993040192872
"3",-0.877236976381391
"4",0.143352737557143
"5",-0.293358812667429
"6",-0.707023994158953
"7",-0.440152993518859
"8",-0.923440883867443
"9",-0.796934245619923
"10",-0.994723714422435
"11",-0.346177969314158
"12",0.156239805649966
"13",0.659658825956285
"14",0.335684896446764
"15",-0.604929596651345
"16",0.346046788431704
"17",0.85949158705771
"18",-0.139116558153182
"19",-1.06478102821857
"20",-1.07437636647373
"21",-0.0797953466884792
"22",-0.303199702594429
"23",0.149198592174798
"24",0.453845735173672
"25",0.589949118904769
"26",0.329238998610526
"27",-0.378607144299895
"28",0.222718443721533
"29",-0.160194786265492
"30",0.665576196741313
"31",-0.865919984970242
"32",0.971618021279573
"33",-0.132444882858545
"34",0.592686607409269
"35",0.97652420764789
"36",0.983807715028524
